央视,#genre#
江西卫视,http://119.91.7.169:2026/ysws.php?id=江西卫视
河北卫视,http://119.91.7.169:2026/ysws.php?id=河北卫视
深圳卫视,http://119.91.7.169:2026/ysws.php?id=深圳卫视
湖北卫视,http://119.91.7.169:2026/ysws.php?id=湖北卫视
贵州卫视,http://119.91.7.169:2026/ysws.php?id=贵州卫视
辽宁卫视,http://119.91.7.169:2026/ysws.php?id=辽宁卫视
重庆卫视,http://119.91.7.169:2026/ysws.php?id=重庆卫视
陕西卫视,http://119.91.7.169:2026/ysws.php?id=陕西卫视
黑龙江卫视,http://119.91.7.169:2026/ysws.php?id=黑龙江卫视
深圳卫视,http://120.233.73.4:19901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://111.221.137.234:44330/tsfile/live/0118_2.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://111.221.137.234:44330/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://111.221.137.234:44330/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://111.221.137.234:44330/tsfile/live/0116_2.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://120.233.73.4:19901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://183.221.92.176:50080/hls/16/index.m3u8
江苏卫视,http://120.233.73.4:19901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://111.221.137.234:44330/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://111.170.156.74:3344/河南频道/hntv.php?id=hnws
河南卫视,http://111.170.156.74:3344/地方频道/henan/henan.php?id=hnws
浙江卫视,http://120.233.73.4:19901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://120.233.73.4:19901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://nn.7x9d.cn/深圳最新.php?id=szws
广东卫视,http://120.233.73.4:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://112.92.129.96:9898/hls/1/index.m3u8
广东卫视,http://36.36.200.196:44330/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视4K,https://event.pull.hebtv.com:443/live/live101.m3u8
湖南卫视,http://119.91.7.169:2026/ysws.php?id=湖南卫视
苏州卫视4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
苏州卫视4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8

河南,#genre#
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://xxwx.yoesun.com/xxw/河南网.php?id=hnws
河南公共,http://1.94.31.214/php/hntv.php?id=hngg
河南公共,http://xxwx.yoesun.com/xxw/河南网.php?id=hngg
河南民生,http://1.94.31.214/php/hntv.php?id=hnms
河南民生,http://xxwx.yoesun.com/xxw/河南网.php?id=hnms
河南新闻,http://1.94.31.214/php/hntv.php?id=hnxw
河南新闻,http://xxwx.yoesun.com/xxw/河南网.php?id=hnxw
河南法治,http://1.94.31.214/php/hntv.php?id=hmfz
河南法治,http://xxwx.yoesun.com/xxw/河南网.php?id=hmfz
河南都市,http://1.94.31.214/php/hntv.php?id=hnds
河南都市,http://xxwx.yoesun.com/xxw/河南网.php?id=hnds
河南电视剧,http://1.94.31.214/php/hntv.php?id=hndsj
河南电视剧,http://xxwx.yoesun.com/xxw/河南网.php?id=hndsj
大象视界,http://1.94.31.214/php/hntv.php?id=xsj
大象视界,http://xxwx.yoesun.com/xxw/河南网.php?id=xsj
河南梨园,http://1.94.31.214/php/hntv.php?id=hnly
河南梨园,http://xxwx.yoesun.com/xxw/河南网.php?id=hnly
河南曲艺,http://1.94.31.214/php/hntv.php?id=jczy
河南曲艺,http://xxwx.yoesun.com/xxw/河南网.php?id=jczy
河南移动戏曲,http://1.94.31.214/php/hntv.php?id=ydxj
河南移动戏曲,http://xxwx.yoesun.com/xxw/河南网.php?id=ydxj
河南武术世界,http://1.94.31.214/php/hntv.php?id=wspd
文物宝库,http://1.94.31.214/php/hntv.php?id=wwbk
文物宝库,http://xxwx.yoesun.com/xxw/河南网.php?id=wwbk
河南上街,http://tvpull.dxhmt.cn:9081/tv/10106-1.m3u8
河南临颍,http://tvpull.dxhmt.cn:9081/tv/11122-1.m3u8
河南义马,http://live.dxhmt.cn:9081/tv/11281-1.m3u8
河南义马,http://tvpull.dxhmt.cn:9081/tv/11281-1.m3u8
河南光山,http://tvpull.dxhmt.cn:9081/tv/11522-1.m3u8
河南内黄,http://tvpull.dxhmt.cn:9081/tv/10527-1.m3u8
河南卫辉,http://tvpull.dxhmt.cn:9081/tv/10781-1.m3u8
河南原阳,http://live.dxhmt.cn:9081/tv/10725-1.m3u8
河南叶县,http://live.dxhmt.cn:9081/tv/10422-1.m3u8
河南叶县,http://tvpull.dxhmt.cn:9081/tv/10422-1.m3u8
河南固始,http://tvpull.dxhmt.cn:9081/tv/11525-1.m3u8
河南孟津,http://tvpull.dxhmt.cn:9081/tv/10322-2.m3u8
河南宜阳,http://live.dxhmt.cn:9081/tv/10327-1.m3u8
河南封丘,http://tvpull.dxhmt.cn:9081/tv/10727-1.m3u8
河南新乡,http://tvpull.dxhmt.cn:9081/tv/10721-1.m3u8
河南新乡,http://live.dxhmt.cn:9081/tv/10721-1.m3u8
河南新安,http://tvpull.dxhmt.cn:9081/tv/10323-1.m3u8
河南新安,http://live.dxhmt.cn:9081/tv/10323-1.m3u8
河南新密,http://tvpull.dxhmt.cn:9081/tv/10183-2.m3u8
河南新蔡,http://tvpull.dxhmt.cn:9081/tv/11729-1.m3u8
河南新野,http://live.dxhmt.cn:9081/tv/11329-1.m3u8
河南栾川,http://live.dxhmt.cn:9081/tv/10324-1.m3u8
河南永城,http://tvpull.dxhmt.cn:9081/tv/11481-1.m3u8
河南汤阴综合,http://tvpull.dxhmt.cn:9081/tv/10523-1.m3u8
河南泌阳综合,http://live.dxhmt.cn:9081/tv/10882-1.m3u8
河南浚县,http://live.dxhmt.cn:9081/tv/10621-1.m3u8
河南浚县,http://tvpull.dxhmt.cn:9081/tv/10621-1.m3u8
河南淅川,http://live.dxhmt.cn:9081/tv/11326-1.m3u8
河南淇县,http://tvpull.dxhmt.cn:9081/tv/10622-1.m3u8
河南渑池综合,http://tvpull.dxhmt.cn:9081/tv/11221-1.m3u8
河南渑池综合,http://live.dxhmt.cn:9081/tv/11221-1.m3u8
河南温县,http://tvpull.dxhmt.cn:9081/tv/10825-1.m3u8
河南滑县,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8
河南焦作公共,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
河南焦作综合,http://zhpull.dxhmt.cn/jiaozuo/b75a92c9503e47cf9e89f7ff247b65f2/playlist.m3u8
河南禹州,http://tvpull.dxhmt.cn:9081/tv/11081-1.m3u8
河南禹州,http://live.dxhmt.cn:9081/tv/11081-1.m3u8
河南舞钢,http://tvpull.dxhmt.cn:9081/tv/10481-1.m3u8
河南襄县,http://tvpull.dxhmt.cn:9081/tv/11025-1.m3u8
河南西华,http://tvpull.dxhmt.cn:9081/tv/11622-1.m3u8
河南通许,http://tvpull.dxhmt.cn:9081/tv/10222-1.m3u8
河南郏县,http://tvpull.dxhmt.cn:9081/tv/10425-1.m3u8
河南鄢陵,http://tvpull.dxhmt.cn:9081/tv/11024-1.m3u8
河南镇平,http://tvpull.dxhmt.cn:9081/tv/11324-1.m3u8
河南鹿邑,http://tvpull.dxhmt.cn:9081/tv/11628-1.m3u8
兰考综合,http://live.dxhmt.cn:9081/tv/10225-1.m3u8

港澳台,#genre#
凤凰中文,http://112.92.129.96:9898/hls/128/index.m3u8
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰中文,http://111.221.137.234:44330/tsfile/live/0141_2.m3u8?key=txiptv&playlive=0&authid=0
凤凰中文,http://183.239.108.37:1698/hls/96/index.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
翡翠台,http://74.91.26.218:82/live/jade.m3u8
翡翠台,http://111.221.137.234:44330/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
星河台,http://120.238.94.82:9901/tsfile/live/1005_1.m3u8?key=txiptv
星空音乐,http://111.221.137.234:44330/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
凤凰卫视咨询台,http://183.239.108.37:1698/hls/95/index.m3u8
凤凰卫视香港台,http://183.239.108.37:1698/hls/97/index.m3u8
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
天映频道,https://o11.163189.xyz/stream/live/typd/
天映经典,https://o11.163189.xyz/stream/live/ccm/
天映经典2,http://183.239.108.37:1698/hls/94/index.m3u8
无线新闻台,http://74.91.26.218:82/live/inews.m3u8
台湾哈旅游,http://165.154.226.214:50007/li-litv-ftv07/index.m3u8?proxy=true
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
台湾佛教,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
环宇财经台,http://165.154.226.214:50007/li-4gtv-4gtv158/index.m3u8?proxy=true

影视少儿,#genre#
嘉佳卡通,http://dsyz.7766.org:808/hls/27/index.m3u8
广东少儿,http://112.92.129.96:9898/hls/131/index.m3u8
广东少儿,http://tvtj1.jxwltx.com:8003/live1570.m3u8
1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy
CHC动作电影,http://genglei.8866.org:9901/tsfile/live/1048_1.m3u8?key=txiptv
CHC动作电影,http://fuxin.yunjifei.top:999/tsfile/live/1015_1.m3u8?key=txiptv
CHC家庭影院,http://genglei.8866.org:9901/tsfile/live/1050_1.m3u8?key=txiptv
CHC家庭影院,http://fuxin.yunjifei.top:999/tsfile/live/1014_1.m3u8?key=txiptv
CHC影迷电影,http://genglei.8866.org:9901/tsfile/live/1049_1.m3u8?key=txiptv
搜狐视频,http://hdl-vip-ws.qf.56.com/live/lc_11730.flv?0.m3u8
深圳电视剧,http://120.233.73.4:19901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
电视剧,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354930969
电视剧1,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1382745085
电视剧2,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1382745103
电视剧3,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1382735569
电视剧4,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1354936208
电视剧5,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1382736824
电视剧6,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1414864180
电视剧7,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1414864186
电视剧8,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1382736839
电视剧9,http://shorturl.jxpan.vip:880/r/baoshi_aio/yy/1382851578

其它,#genre#
欧洲华文电视台,http://oh.eztv.vip/live/eztv1.m3u8
儋州广播电视台,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
红牛运动,http://rbmn-live.akamaized.net:80/hls/live/590964/BoRB-AT/master_1660.m3u8?
红牛运动,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
财经AI,https://swiftplay.hxkjmedia.com/tv/spbW.m3u8
晴彩广场舞,http://gslbserv.itv.cmvideo.cn:80/3000000020000011523/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=YanG-1989
晴彩广场舞,http://gslbserv.itv.cmvideo.cn:80/3000000020000011523/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=BingCha
晴彩竞技,http://gslbserv.itv.cmvideo.cn:80/3000000020000011528/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=YanG-1989
晴彩竞技,http://gslbserv.itv.cmvideo.cn:80/3000000020000011528/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=BingCha
晴彩篮球,http://gslbserv.itv.cmvideo.cn:80/3000000020000011529/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=YanG-1989
晴彩篮球,http://gslbserv.itv.cmvideo.cn:80/3000000020000011529/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=BingCha
晴彩青少,http://gslbserv.itv.cmvideo.cn:80/3000000020000011525/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=YanG-1989
晴彩青少,http://gslbserv.itv.cmvideo.cn:80/3000000020000011525/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=BingCha
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
苏州娱乐,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
镇江民生,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
镇江综合,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8
无锡娱乐,http://stream.thmz.com/wxtv2/playlist.m3u8
无锡经济,http://stream.thmz.com/wxtv5/playlist.m3u8
无锡综合,http://stream.thmz.com/wxtv1/playlist.m3u8
无锡都市,http://stream.thmz.com/wxtv3/playlist.m3u8
山东综艺,http://222.135.142.75:3283/tsfile/live/1000_1.m3u8?key=txiptv
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129.m3u8
砚山频道,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel16/playlist.m3u8
泗阳综合,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
泗阳资讯,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
宜兴综合,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
深圳国际,http://nn.7x9d.cn/深圳最新.php?id=szgj
深圳电视剧,http://nn.7x9d.cn/深圳最新.php?id=szdsj
深圳财经,http://nn.7x9d.cn/深圳最新.php?id=szcj
深圳娱乐,http://nn.7x9d.cn/深圳最新.php?id=szyd
深圳少儿,http://nn.7x9d.cn/深圳最新.php?id=szse
深圳都市,http://nn.7x9d.cn/深圳最新.php?id=szds
深圳PVA,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
广东大湾区卫视,http://112.92.129.96:9898/hls/8/index.m3u8
广东大湾区卫视,http://dsyz.7766.org:808/hls/22/index.m3u8
广东大湾区卫视,http://kingtom-tech.com:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
广东大湾区卫视,http://xhyx.gz.cn:1698/hls/64/index.m3u8
广东大湾区卫视,http://tvtj.jxwltx.com:8003/neimenggu.m3u8
广东大湾区卫视,http://ddns.cyruslee.top:8888/udp/239.77.0.215:5146
广东大湾区卫视,http://120.238.5.44:1698/hls/11/index.m3u8
广东体育,http://112.92.129.96:9898/hls/5/index.m3u8
广东体育,http://dsyz.7766.org:808/hls/20/index.m3u8
广东体育,http://111.221.137.234:44330/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
广东体育,http://91tv.top:8003/live2915.m3u8
广东影视,http://112.92.129.96:9898/hls/10/index.m3u8
广东影视,http://tvtj1.jxwltx.com:8003/live1762.m3u8
广东影视,http://dsyz.7766.org:808/hls/23/index.m3u8
广东戏曲,http://112.92.129.96:9898/hls/14/index.m3u8
广东新闻,http://dsyz.7766.org:808/hls/26/index.m3u8
广东新闻,http://112.92.129.96:9898/hls/4/index.m3u8
广东民生,http://112.92.129.96:9898/hls/3/index.m3u8
广东民生,http://91tv.top:8003/dfws.m3u8
广东民生,http://dsyz.7766.org:808/hls/24/index.m3u8
广东珠江,http://112.92.129.96:9898/hls/2/index.m3u8
广东珠江,http://dsyz.7766.org:808/hls/21/index.m3u8
广东珠江,http://tvtj1.jxwltx.com:8003/live2897.m3u8
广东经济,http://112.92.129.96:9898/hls/7/index.m3u8
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广州南国都市,http://r.jdshipin.com/nWaZO
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州综合,http://r.jdshipin.com/iR6Gq
文山州公共,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel8/playlist.m3u8
文山综合,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
文山综合,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
永清影视,http://60.10.203.69:8000/4.m3u8
iPanda基地别墅,http://gcalic.v.myalicdn.com/gc/xiongmao09_1/index.m3u8
iPanda基地别墅,http://gcalic.v.myalicdn.com/gc/xiongmao10_1/index.m3u8
iPanda基地成年园,http://gcalic.v.myalicdn.com/gc/xiongmao01_1/index.m3u8
iPanda基地母子园,http://gcalic.v.myalicdn.com/gc/xiongmao07_1/index.m3u8
iPanda大丰麋鹿,http://gcalic.v.myalicdn.com/gc/xiongmao23_1/index.m3u8
iPanda成都,http://gcalic.v.myalicdn.com/gc/ipanda_1td/index.m3u8
iPanda都江堰妃妃,http://gctxyc.liveplay.myqcloud.com/gc/xiongmao13_1/index.m3u8
iPanda都江堰妃妃,http://gcalic.v.myalicdn.com/gc/xiongmao13_1/index.m3u8
iPanda都江堰娅祥,http://gcalic.v.myalicdn.com/gc/xiongmao15_1/index.m3u8
iPanda都江堰水秀,http://gcalic.v.myalicdn.com/gc/xiongmao12_1/index.m3u8
iPanda都江堰瑞瑞,http://gcalic.v.myalicdn.com/gc/xiongmao11_1/index.m3u8
iPanda都江堰青青,http://gcalic.v.myalicdn.com/gc/xiongmao20_1/index.m3u8

国际,#genre#
amc,http://148.113.160.49:14209
HBO+,http://148.113.160.49:14194
HBO1,http://148.113.160.49:14185
HBO2,http://148.113.160.49:14182
filmarts,http://148.113.160.49:14212
HBO3,http://148.113.160.49:14191
HBO4,http://148.113.160.49:14176
HBO5,http://148.113.160.49:14188
MEGAPIX,http://148.113.160.49:14173
TNT,http://148.113.160.49:14143
TELECINE,http://148.113.160.49:14155
SPACE,http://148.113.160.49:14170
STUDIO,http://148.113.160.49:14163
SPACE2,http://148.113.160.49:14169
TELECINE2,http://148.113.160.49:14152
TNT2,http://148.113.160.49:14140
golboplay,http://148.113.160.49:14161
STUDIO,http://148.113.160.49:14164
TELECINE3,http://148.113.160.49:14158
TELECINE4,http://148.113.160.49:14149
UNIVERSAL,http://148.113.160.49:14137
WB,http://148.113.160.49:14131
UA,http://148.113.160.49:14134
UA,http://148.113.160.49:14133
UNTVERSAL2,http://148.113.160.49:14136
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
俄罗斯频,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
半島電視台,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
乌克兰台,https://cdn.1tvcrimea.ru/1tvcrimea.m3u8
韩国国防,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
韩国新闻,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
泰国ASTV,http://news1.live14.com/stream/news1_hi.m3u8
日本映画専門,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs23
日本映画専門,http://103.197.59.106:5002/bs23.m3u8?token=guoziyun&gid=bs23&channel=zhongying
日本映画専門チャンネル,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs23&isp=10&bind=0&uin=159413&playseek=0
迪士尼,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs24
1+1 HD,http://cdnua03.hls.tv/524/hls/38723e07ee57679b516a78958abde705/124/stream.m3u8
24news,http://streamvideol1.luxnet.ua/news24/livenews_1080p/index.m3u8
24news,http://streamvideol1.luxnet.ua/news24/livenews_720p/index.m3u8
360°,https://cdn-evacoder-tv.facecast.io/evacoder_hls_hi/CkxfR1xNUAJwTgtXTBZTAJli/2.m3u8
3ABN,https://hls.tv.3angels.ru/stream/HQ.m3u8
A2iMusic,https://stream.sen-gt.com/A2iMusic/myStream/playlist.m3u8
Aaj Tak Tej,https://aajtakhdlive-amd.akamaized.net/hls/live/2014415/aajtakhd/aajtakhdlive/live_720p/chunks.m3u8
aajtaak,https://aajtaklive-amd.akamaized.net/hls/live/2014416/aajtak/aajtaklive/live_720p/chunks.m3u8
ABCテレビ,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gx02&isp=10&bind=0&uin=159413&playseek=0
Afghanistan International,https://hls.afintl.com/hls/stream.m3u8
Amazing HD,http://49.0.64.96:8007/AMAZING
ATR HD,http://cdnua03.hls.tv/524/hls/bce039e22cfeb8b5e1acfe0b5037ce48/3936/stream.m3u8
BBSTV(불교),http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1216149699.m3u8
bs01,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs01
bs02,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs02
bs03,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs03
bs04,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs04
bs05,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs05
bs06,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs06
bs07,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs07
